test,t_statistic,p_value
male_ctx-lh-caudalanteriorcingulate,5.785403400747465,2.6309346458274317e-08
male_ctx-lh-caudalmiddlefrontal,0.13852744532359737,0.8899576019944635
male_ctx-lh-cuneus,-2.4860574599324914,0.013704226650408581
male_ctx-lh-entorhinal,-4.617216303194486,6.805352563912674e-06
male_ctx-lh-fusiform,5.305357505852619,2.8692905475332426e-07
male_ctx-lh-inferiorparietal,2.5019872078365837,0.013120290106053376
male_ctx-lh-inferiortemporal,1.8875145105268405,0.060483610686100066
male_ctx-lh-insula,2.285709093968817,0.023278951248409726
male_ctx-lh-isthmuscingulate,11.273044656666878,2.585434369128258e-23
male_ctx-lh-lateraloccipital,2.388963083524833,0.017789468830710416
male_ctx-lh-lateralorbitofrontal,-1.69706976204413,0.09117925612926424
male_ctx-lh-lingual,-4.722797764824288,4.274545625951782e-06
male_ctx-lh-medialorbitofrontal,3.8819770509125213,0.00013911256399799885
male_ctx-lh-middletemporal,2.7383204783182684,0.006710868163326145
male_ctx-lh-paracentral,2.6817894547214864,0.00791095356052873
male_ctx-lh-parahippocampal,3.842483328378995,0.00016175820661102196
male_ctx-lh-parsopercularis,1.6934074783967232,0.09187494885944061
male_ctx-lh-parsorbitalis,1.534038387152981,0.1265398404391699
male_ctx-lh-parstriangularis,2.132179240197877,0.034164749367490206
male_ctx-lh-pericalcarine,-6.350809156770251,1.3244533660988703e-09
male_ctx-lh-postcentral,-2.0380315568234835,0.042812584058173946
male_ctx-lh-posteriorcingulate,9.15311394566198,5.2631235278080357e-17
male_ctx-lh-precentral,-2.2187064814763087,0.02758766961678645
male_ctx-lh-precuneus,3.64767105520328,0.00033452548812586055
male_ctx-lh-rostralanteriorcingulate,6.175791700967407,3.4057901529038106e-09
male_ctx-lh-rostralmiddlefrontal,0.036395664151341496,0.971001776648547
male_ctx-lh-superiorfrontal,1.5920530033051623,0.11289137177300568
male_ctx-lh-superiorparietal,-0.5612674029668201,0.5752194442186961
male_ctx-lh-superiortemporal,1.2199765848197244,0.22385517498752563
male_ctx-lh-supramarginal,0.37358575100957114,0.7090930295886768
male_ctx-lh-transversetemporal,-2.607294342364038,0.009787105475285392
male_ctx-rh-caudalanteriorcingulate,8.942258906304131,2.102808102838916e-16
male_ctx-rh-caudalmiddlefrontal,-1.7039352016815401,0.08988658455458252
male_ctx-rh-cuneus,-4.643309480853566,6.0708713005120046e-06
male_ctx-rh-entorhinal,-4.786743004288189,3.213281418938237e-06
male_ctx-rh-fusiform,-0.5643590107417943,0.5731178882881036
male_ctx-rh-inferiorparietal,-0.48044830912980774,0.631413565842456
male_ctx-rh-inferiortemporal,-2.5395569798207123,0.011829983883249457
male_ctx-rh-insula,0.8788750007764308,0.38048321544770736
male_ctx-rh-isthmuscingulate,10.87374764581567,4.267263151171631e-22
male_ctx-rh-lateraloccipital,0.7342288658236966,0.463636136747257
male_ctx-rh-lateralorbitofrontal,2.846315665376202,0.004865681979167796
male_ctx-rh-lingual,-4.830737266315212,2.6361619946483117e-06
male_ctx-rh-medialorbitofrontal,9.202089365576123,3.808062099145372e-17
male_ctx-rh-middletemporal,2.827758462771072,0.005145532154890713
male_ctx-rh-paracentral,3.919157818383201,0.00012056904392025703
male_ctx-rh-parahippocampal,2.252165200097026,0.025356368898148948
male_ctx-rh-parsopercularis,2.5452901886110593,0.011643380345587056
male_ctx-rh-parsorbitalis,1.4160209286866483,0.15826509351511778
male_ctx-rh-parstriangularis,2.394601368461311,0.01752569343182988
male_ctx-rh-pericalcarine,-8.079826797079273,5.220452021102355e-14
male_ctx-rh-postcentral,-1.9401740792863167,0.053710454183633134
male_ctx-rh-posteriorcingulate,11.187873226418569,4.7112455616184694e-23
male_ctx-rh-precentral,-1.667300655668832,0.09695954081193864
male_ctx-rh-precuneus,5.85204028428154,1.8675343967313555e-08
male_ctx-rh-rostralanteriorcingulate,8.590927401607797,2.049986132869873e-15
male_ctx-rh-rostralmiddlefrontal,0.1912823862086218,0.8484909480180792
male_ctx-rh-superiorfrontal,2.620732550615642,0.009421655182153339
male_ctx-rh-superiorparietal,-1.7296302164738697,0.08517985427413252
male_ctx-rh-superiortemporal,3.5210093352706675,0.0005282163218146153
male_ctx-rh-supramarginal,0.16010987569371996,0.8729499013909303
male_ctx-rh-transversetemporal,-1.8136578779891601,0.07117158593155871
female_ctx-rh-transversetemporal,3.3788488102441145,0.0009894011247469782
