Brain-Stem,CSF,Left-Accumbens-area,Left-Amygdala,Left-Caudate,Left-Cerebral-White-Matter,Left-Hippocampus,Left-Inf-Lat-Vent,Left-Lateral-Ventricle,Left-Pallidum,Left-Putamen,Left-Thalamus-Proper,Left-UnsegmentedWhiteMatter,Left-VentralDC,Left-choroid-plexus,Left-vessel,Optic-Chiasm,Right-Accumbens-area,Right-Amygdala,Right-Caudate,Right-Cerebral-White-Matter,Right-Hippocampus,Right-Inf-Lat-Vent,Right-Lateral-Ventricle,Right-Pallidum,Right-Putamen,Right-Thalamus-Proper,Right-UnsegmentedWhiteMatter,Right-VentralDC,Right-choroid-plexus,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-frontalpole,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-insula,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-paracentral,ctx-lh-parahippocampal,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-unknown,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-frontalpole,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-insula,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-paracentral,ctx-rh-parahippocampal,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-unknown,subid,wm-lh-bankssts,wm-lh-caudalanteriorcingulate,wm-lh-caudalmiddlefrontal,wm-lh-cuneus,wm-lh-entorhinal,wm-lh-frontalpole,wm-lh-fusiform,wm-lh-inferiorparietal,wm-lh-inferiortemporal,wm-lh-insula,wm-lh-isthmuscingulate,wm-lh-lateraloccipital,wm-lh-lateralorbitofrontal,wm-lh-lingual,wm-lh-medialorbitofrontal,wm-lh-middletemporal,wm-lh-paracentral,wm-lh-parahippocampal,wm-lh-parsopercularis,wm-lh-parsorbitalis,wm-lh-parstriangularis,wm-lh-pericalcarine,wm-lh-postcentral,wm-lh-posteriorcingulate,wm-lh-precentral,wm-lh-precuneus,wm-lh-rostralanteriorcingulate,wm-lh-rostralmiddlefrontal,wm-lh-superiorfrontal,wm-lh-superiorparietal,wm-lh-superiortemporal,wm-lh-supramarginal,wm-lh-temporalpole,wm-lh-transversetemporal,wm-rh-bankssts,wm-rh-caudalanteriorcingulate,wm-rh-caudalmiddlefrontal,wm-rh-cuneus,wm-rh-entorhinal,wm-rh-frontalpole,wm-rh-fusiform,wm-rh-inferiorparietal,wm-rh-inferiortemporal,wm-rh-insula,wm-rh-isthmuscingulate,wm-rh-lateraloccipital,wm-rh-lateralorbitofrontal,wm-rh-lingual,wm-rh-medialorbitofrontal,wm-rh-middletemporal,wm-rh-paracentral,wm-rh-parahippocampal,wm-rh-parsopercularis,wm-rh-parsorbitalis,wm-rh-parstriangularis,wm-rh-pericalcarine,wm-rh-postcentral,wm-rh-posteriorcingulate,wm-rh-precentral,wm-rh-precuneus,wm-rh-rostralanteriorcingulate,wm-rh-rostralmiddlefrontal,wm-rh-superiorfrontal,wm-rh-superiorparietal,wm-rh-superiortemporal,wm-rh-supramarginal,wm-rh-temporalpole,wm-rh-transversetemporal
24628.0,1006.0,703.0,1877.0,4628.0,205.0,4791.0,367.0,7525.0,2686.0,6307.0,11754.0,25737.0,5022.0,415.0,22.0,237.0,910.0,2047.0,5373.0,187.0,4923.0,425.0,6767.0,2605.0,6055.0,11682.0,23719.0,5016.0,514.0,3430.0,3936.0,10201.0,4576.0,3530.0,1500.0,12429.0,18393.0,17094.0,8803.0,3536.0,15124.0,10316.0,8953.0,6525.0,17570.0,3669.0,3159.0,5024.0,3074.0,3895.0,2402.0,11360.0,5885.0,16364.0,13814.0,4508.0,23730.0,30742.0,19246.0,15737.0,15118.0,3188.0,1471.0,854.0,3425.0,3325.0,8343.0,5273.0,3679.0,1367.0,14710.0,20291.0,15335.0,8842.0,3361.0,15964.0,10317.0,7476.0,8449.0,18960.0,4277.0,2391.0,4989.0,3778.0,5558.0,2740.0,10333.0,4935.0,14903.0,13710.0,3221.0,28644.0,29125.0,19323.0,16949.0,14871.0,3079.0,1193.0,636.0,5000946_VNav,3373.0,4045.0,9054.0,3070.0,1545.0,332.0,7369.0,11445.0,8333.0,12427.0,4041.0,9784.0,7244.0,5580.0,3086.0,6768.0,3713.0,1635.0,3177.0,986.0,2730.0,3649.0,9385.0,7167.0,14873.0,11571.0,3551.0,14216.0,21170.0,14140.0,8393.0,9825.0,725.0,915.0,3368.0,3517.0,6090.0,3294.0,1340.0,352.0,8632.0,11388.0,8165.0,11858.0,3841.0,10915.0,7200.0,4999.0,4776.0,8214.0,5289.0,1406.0,3807.0,1216.0,3514.0,3354.0,8817.0,5216.0,13848.0,11950.0,2323.0,18362.0,21647.0,12412.0,8032.0,10966.0,742.0,756.0
24435.0,884.0,658.0,1960.0,4266.0,288.0,4803.0,420.0,7097.0,2397.0,6021.0,9480.0,29493.0,5112.0,370.0,27.0,230.0,688.0,2170.0,4242.0,207.0,4902.0,350.0,6494.0,2400.0,5972.0,9294.0,28103.0,5107.0,562.0,3626.0,4018.0,9735.0,4378.0,3443.0,1199.0,11983.0,18701.0,16505.0,8439.0,3607.0,14934.0,10259.0,8728.0,6357.0,17305.0,3672.0,3221.0,5199.0,2999.0,3801.0,2561.0,12470.0,5810.0,16660.0,13827.0,4660.0,23444.0,31439.0,18984.0,15529.0,14964.0,3331.0,1409.0,739.0,3243.0,3307.0,8274.0,4905.0,3047.0,1523.0,14602.0,19685.0,14912.0,8890.0,3596.0,16369.0,10281.0,7653.0,8143.0,18682.0,4328.0,2426.0,5182.0,3669.0,5737.0,2796.0,11067.0,4948.0,14881.0,13857.0,3146.0,28294.0,28988.0,18531.0,17181.0,14562.0,2974.0,1173.0,1039.0,5000946_VNavNorm,3515.0,4951.0,8823.0,3113.0,1413.0,267.0,7168.0,11617.0,8131.0,11791.0,4291.0,9365.0,7143.0,5361.0,3754.0,6567.0,3747.0,1688.0,3146.0,935.0,2883.0,3749.0,8199.0,5918.0,14221.0,11434.0,3576.0,13622.0,21302.0,13906.0,8301.0,8935.0,725.0,827.0,3392.0,3590.0,6055.0,3205.0,1228.0,390.0,8358.0,10917.0,8079.0,12476.0,4101.0,10930.0,7223.0,5155.0,4467.0,8002.0,5322.0,1475.0,3880.0,1122.0,3408.0,3350.0,8134.0,5195.0,13289.0,11991.0,2121.0,18022.0,21547.0,11878.0,8004.0,10585.0,661.0,723.0
25124.12,1567.007,941.004,1411.007,4133.02,139.001,4569.022,189.001,8150.039,2933.014,6293.03,12955.062,27458.131,4375.021,731.003,27.0,253.001,944.005,1737.008,4565.022,151.001,4317.021,332.002,8694.041,2345.011,5932.028,11052.053,30918.147,4822.023,793.004,3663.017,2229.011,10712.051,3208.015,2821.013,1299.006,12880.061,17299.082,18679.089,9885.047,3394.016,13452.064,10036.048,8900.042,8942.043,19761.094,4369.021,2214.011,7328.035,3054.015,4209.02,2360.011,11324.054,4127.02,15102.072,10589.05,4934.024,22265.106,36081.172,14615.07,18216.087,18375.088,3526.017,1799.009,630.003,3814.018,1600.008,11193.053,3723.018,3124.015,2298.011,13307.063,24715.118,14791.071,10043.048,2763.013,14497.069,10757.051,9121.043,9074.043,18338.087,5700.027,2384.011,5758.027,3031.014,7712.037,2848.014,11526.055,4127.02,16119.077,11306.054,1626.008,24661.118,35551.17,15201.072,15826.075,16243.077,3639.017,1174.006,842.004,5026599_VNav,3311.016,3573.017,9539.045,3184.015,930.004,708.003,7185.034,10616.051,8933.043,11537.055,4123.02,12006.057,7973.038,6005.029,7273.035,10839.052,4879.023,1332.006,4893.023,1713.008,3480.017,2952.014,9905.047,4760.023,17823.085,9063.043,3105.015,16595.079,28022.134,11922.057,12213.058,13659.065,970.005,915.004,3266.016,2879.014,8893.042,3430.016,804.004,856.004,6874.033,18371.088,8365.04,12382.059,3437.016,12373.059,8126.039,6283.03,5131.024,9296.044,5900.028,1803.009,3681.018,1511.007,4478.021,3425.016,10248.049,4764.023,19088.091,9250.044,2458.012,17948.086,27217.13,13205.063,10021.048,14627.07,1257.006,570.003
25172.12,1544.007,948.005,1701.008,4157.02,177.001,4431.021,230.001,7729.037,2485.012,5673.027,10381.05,30980.148,4787.023,488.002,45.0,291.001,897.004,1776.008,4250.02,193.001,4598.022,266.001,8689.041,2044.01,5527.026,9396.045,34066.162,5030.024,571.003,3539.017,2722.013,10871.052,3569.017,2987.014,1228.006,13253.063,16355.078,18550.088,9723.046,3592.017,14876.071,10866.052,8724.042,7855.037,19081.091,4375.021,2245.011,7369.035,3214.015,4347.021,2247.011,12495.06,3957.019,16116.077,10725.051,5307.025,22635.108,36069.172,14254.068,18177.087,18435.088,4485.021,1770.008,594.003,3670.017,1649.008,10833.052,4092.02,3501.017,2184.01,13697.065,24975.119,15278.073,10055.048,2613.012,14045.067,10540.05,9211.044,8912.042,18778.09,5808.028,2368.011,5517.026,3752.018,7357.035,2617.012,12129.058,3973.019,16538.079,11618.055,1878.009,24553.117,36493.174,14810.071,16699.08,16221.077,3265.016,1238.006,718.003,5026599_VNavNorm,3310.016,4486.021,8959.043,2999.014,994.005,569.003,7869.038,9645.046,8324.04,12081.058,4299.02,11164.053,8769.042,6254.03,6687.032,9327.044,4902.023,1439.007,4757.023,1506.007,3391.016,2889.014,9742.046,4655.022,16488.079,9804.047,2636.013,15393.073,25551.122,12153.058,11163.053,12329.059,1642.008,994.005,3143.015,2841.014,8353.04,3245.015,1048.005,661.003,6836.033,17461.083,8251.039,12810.061,3126.015,10124.048,8179.039,6548.031,4572.022,9189.044,6062.029,1948.009,3276.016,1738.008,4123.02,3218.015,9242.044,4575.022,17743.085,10113.048,2877.014,17083.081,26060.124,13044.062,10006.048,13425.064,1190.006,635.003
21255.76,865.283,600.578,1746.951,4124.176,318.977,5162.003,554.498,7569.949,2224.648,6321.176,9371.683,31766.648,4957.715,425.986,17.408,248.833,887.811,2114.056,4861.97,357.889,5020.691,308.737,14472.759,1959.943,6418.456,8283.679,32449.146,5129.235,860.675,4255.76,3577.357,9683.493,4328.976,3398.157,1579.526,13097.009,13241.394,16029.244,10059.814,3575.309,12986.417,12090.414,8321.055,9106.978,16166.461,4031.503,2824.715,8877.601,3611.662,7547.42,2748.426,12404.271,5096.467,15583.291,9858.085,4953.107,27595.368,33244.797,16085.053,19335.753,21597.265,2563.082,1859.079,1030.66,3573.773,3367.949,8553.504,4066.319,2573.322,1924.615,13019.185,21005.903,16671.807,9454.628,2983.947,17794.115,11886.637,7344.668,9752.613,19262.025,4260.368,2514.953,5961.75,5143.059,8545.312,2592.266,12245.55,3689.486,15658.555,12589.103,3122.7,30587.507,31871.096,15525.435,17704.515,14945.848,3074.572,1373.701,750.595,5027335_HCP,3372.557,4615.185,7962.654,3650.062,1384.453,393.217,8498.208,9835.557,10054.182,12102.702,3929.103,10209.319,8700.449,6642.201,6109.719,6525.465,3824.654,1786.375,5825.558,1366.533,5195.284,4821.522,8887.842,7247.899,14493.239,7764.509,3506.189,19650.122,23259.224,13438.515,13652.02,15856.7,940.036,999.94,4202.0,3925.007,7559.197,3657.23,1110.02,724.483,7826.462,15321.658,10099.238,11208.746,3541.517,14946.872,10388.007,6247.96,5208.596,8558.112,5355.54,1677.83,5285.396,1860.615,5341.204,4227.6,9793.061,4564.497,15354.426,10746.921,3301.9,20203.596,21527.121,13107.761,10334.247,11784.236,876.547,605.186
22921.0,1239.0,1090.0,1803.0,3684.0,228.0,5604.0,429.0,7646.0,2502.0,6688.0,10804.0,25996.0,5170.0,567.0,44.0,388.0,960.0,2064.0,4098.0,277.0,5493.0,398.0,14724.0,2078.0,6327.0,9668.0,26584.0,4918.0,617.0,4684.0,3789.0,9183.0,4456.0,3487.0,1490.0,14069.0,13067.0,16030.0,9636.0,3822.0,12344.0,17472.0,9175.0,9802.0,15547.0,4099.0,2961.0,9327.0,3394.0,7330.0,2890.0,12993.0,5086.0,15283.0,10398.0,4832.0,29193.0,33427.0,16594.0,21600.0,22325.0,3381.0,1759.0,689.0,3500.0,3338.0,8490.0,4308.0,2511.0,2383.0,14076.0,20791.0,17948.0,9386.0,2983.0,16764.0,13511.0,8105.0,10621.0,18735.0,4462.0,2538.0,6341.0,4321.0,9195.0,3172.0,12723.0,3982.0,15038.0,12562.0,2631.0,34918.0,30208.0,16333.0,17897.0,14592.0,2746.0,1280.0,888.0,5027335_VNav,3645.0,4647.0,8146.0,3653.0,1121.0,469.0,8504.0,9929.0,9097.0,10604.0,4500.0,10835.0,9220.0,5997.0,4864.0,6410.0,3685.0,1574.0,6432.0,2056.0,5801.0,4213.0,9412.0,6357.0,14954.0,7763.0,3091.0,20721.0,23820.0,14518.0,14376.0,17468.0,1568.0,787.0,4247.0,3823.0,7825.0,3490.0,1003.0,1067.0,7470.0,15816.0,10974.0,10612.0,3781.0,16722.0,9992.0,4977.0,5736.0,9226.0,5239.0,1381.0,5277.0,1732.0,5632.0,3824.0,9260.0,4723.0,15669.0,10643.0,3268.0,21776.0,21630.0,13650.0,11138.0,12187.0,858.0,509.0
21191.0,902.0,991.0,1889.0,3914.0,248.0,5238.0,561.0,7480.0,2388.0,6404.0,9229.0,29233.0,5098.0,506.0,18.0,270.0,779.0,2055.0,4070.0,325.0,4898.0,419.0,14780.0,1876.0,6699.0,8412.0,29764.0,4982.0,881.0,4408.0,3750.0,9908.0,4294.0,2651.0,1526.0,13301.0,13517.0,16723.0,10180.0,3768.0,12788.0,12817.0,8784.0,8165.0,16047.0,4122.0,3029.0,9469.0,3940.0,7447.0,2915.0,12431.0,5292.0,15757.0,9929.0,5093.0,27609.0,34418.0,16544.0,20378.0,21780.0,2622.0,1890.0,832.0,3517.0,3278.0,8417.0,4266.0,2155.0,1905.0,13926.0,21199.0,17409.0,9975.0,3094.0,17912.0,11912.0,7935.0,9199.0,19195.0,4315.0,2387.0,6374.0,4397.0,8794.0,2866.0,12223.0,4091.0,15884.0,12287.0,3264.0,32367.0,31102.0,14947.0,18301.0,14460.0,2495.0,1315.0,1065.0,5027335_VNavNorm,2987.0,4976.0,7961.0,3558.0,1141.0,399.0,7959.0,9640.0,9865.0,11827.0,4210.0,10282.0,8514.0,6426.0,5546.0,6412.0,3785.0,1718.0,5875.0,1389.0,4875.0,4297.0,9160.0,6865.0,14226.0,7620.0,3332.0,18441.0,22960.0,13657.0,13522.0,15255.0,894.0,918.0,3989.0,3882.0,7675.0,3511.0,1004.0,677.0,7522.0,14826.0,10260.0,11487.0,3735.0,15078.0,9549.0,5536.0,5357.0,8398.0,5068.0,1461.0,5274.0,1612.0,5181.0,3905.0,9669.0,4812.0,15509.0,10465.0,3360.0,20190.0,20803.0,12419.0,10093.0,11355.0,657.0,565.0
21047.957,851.998,626.999,1602.997,3769.992,95.0,3971.992,274.999,3144.994,2063.996,4732.99,8743.982,25441.948,4289.991,581.999,4.0,207.0,616.999,1617.997,3944.992,126.0,3976.992,348.999,2962.994,1983.996,4752.99,8724.982,24564.95,4267.991,663.999,3075.994,2221.995,8798.982,3752.992,1921.996,1555.997,11280.977,18447.963,13722.972,7135.986,2388.995,12197.975,9306.981,7168.985,6418.987,12796.974,2986.994,2143.996,5307.989,2706.995,5123.99,2523.995,10346.979,4185.992,14745.97,9862.98,2984.994,22942.954,25500.948,12781.974,13393.973,9921.98,2776.994,967.998,721.999,2693.995,2582.995,7480.985,4054.992,1956.996,1595.997,9879.98,20688.958,12954.974,7656.984,2781.994,12149.975,8879.982,8086.984,6337.987,13394.973,3820.992,2095.996,4430.991,3506.993,6408.987,3046.994,8731.982,3344.993,14422.971,11074.978,2570.995,22184.955,23970.951,12959.974,12457.975,10455.979,3015.994,884.998,786.998,5033873_VNav,3664.993,3243.993,6948.986,2561.995,892.998,395.999,5854.988,11500.977,7054.986,8318.983,3620.993,10540.979,7274.985,5100.99,4230.991,6041.988,3123.994,1272.997,3390.993,1436.997,3225.993,3736.992,6194.987,4933.99,12359.975,7608.985,2973.994,14872.97,17770.964,9811.98,6452.987,7060.986,617.999,785.998,3510.993,3059.994,5652.989,2362.995,901.998,371.999,5382.989,12804.974,6287.987,9394.981,3560.993,12179.975,7188.985,6131.988,3399.993,6372.987,4410.991,1205.998,2742.994,1515.997,4189.992,4315.991,6132.988,4222.991,13049.974,8567.983,1894.996,15420.969,16778.966,9833.98,5813.988,6699.986,776.998,654.999
20753.958,891.998,691.999,1599.997,3528.993,158.0,3827.992,355.999,2863.994,1757.996,4448.991,7684.984,26987.945,4413.991,391.999,1.0,233.0,669.999,1527.997,3691.993,148.0,3998.992,363.999,2809.994,1748.996,4634.991,7799.984,26551.946,4521.991,565.999,2963.994,2336.995,8772.982,3940.992,2005.996,1396.997,11168.977,18095.963,13499.973,7174.985,2456.995,13151.973,9468.981,7096.986,6454.987,12611.974,2903.994,2126.996,5290.989,2714.994,5287.989,2601.995,10081.98,4127.992,14607.97,9780.98,2984.994,22586.954,25572.948,13059.974,13346.973,9771.98,2950.994,982.998,611.999,2656.995,2609.995,7241.985,4225.991,2219.996,1569.997,9695.98,20353.959,12817.974,7639.985,2700.995,13190.973,8992.982,7976.984,6518.987,13487.973,3691.993,2051.996,4486.991,3518.993,6464.987,3012.994,8656.982,3318.993,14327.971,11050.978,2554.995,22102.955,23863.952,12565.975,12340.975,10362.979,3212.993,880.998,434.999,5033873_VNavNorm,3703.992,3356.993,6917.986,2451.995,977.998,324.999,5697.988,11309.977,7098.986,8843.982,3846.992,9143.981,7500.985,5211.989,4107.992,6074.988,3068.994,1300.997,3451.993,1237.997,3195.994,3636.993,6081.988,4861.99,12415.975,7476.985,2792.994,14742.97,18103.963,10017.98,6224.987,7115.986,629.999,890.998,3460.993,3054.994,5540.989,2335.995,923.998,340.999,5455.989,12915.974,6183.987,9398.981,3550.993,9634.98,7643.985,5908.988,3503.993,6426.987,4307.991,1224.998,2899.994,1489.997,4133.992,4119.992,6183.987,4352.991,13004.974,8677.982,1920.996,15384.969,16873.966,9635.98,5776.988,6862.986,810.998,634.999
18105.244,756.22,736.252,1686.519,4057.066,360.446,4415.464,369.662,2857.456,2067.957,5717.472,7679.957,27123.562,4392.936,303.102,3.072,205.311,767.996,1892.342,4183.017,272.894,4446.183,286.206,2624.497,2026.997,5635.041,7581.654,27453.288,4132.329,376.83,3886.57,2891.76,9325.004,5939.167,2735.601,1123.834,13594.549,18511.257,14759.342,8179.667,3501.549,20486.542,10111.944,12086.205,7624.15,15586.73,4826.085,3093.999,5724.128,4019.69,7285.208,4093.417,12091.837,4726.758,15603.626,15144.364,3073.519,22818.69,31763.792,17865.117,16951.202,13432.758,2824.688,1616.887,824.827,3096.559,2547.698,8203.731,5828.064,2997.231,1790.454,15346.603,20098.961,17844.637,8026.58,3501.549,20026.769,9760.714,9678.794,8214.994,17734.046,4953.573,2958.832,5349.346,4341.736,6115.294,4442.087,13060.536,4333.032,15248.3,15501.738,1895.925,23924.603,31305.555,16299.942,14238.129,12557.242,4053.482,1004.026,427.518,5069025_HCP,2608.626,2778.609,7621.078,2993.647,809.98,346.11,6978.009,11994.046,7316.439,10598.341,4196.841,11791.295,7100.889,6120.926,3950.058,6185.95,4634.598,1608.695,3346.925,1400.824,3852.267,4598.247,7943.124,4964.836,12798.905,10650.053,2492.914,14637.487,19417.492,12849.593,8646.096,9352.14,1061.882,829.435,2777.585,2526.194,6739.419,3085.807,736.764,528.381,6888.41,12237.756,8752.08,9991.113,3652.588,12467.643,7579.094,5732.832,4251.624,8533.969,5423.074,1766.902,3676.14,1695.735,3717.611,4411.88,9596.875,4381.16,13843.891,10765.764,2224.628,16347.557,19027.351,11066.307,7015.897,9721.29,952.827,672.252
