ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-insula,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-paracentral,ctx-lh-parahippocampal,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-transversetemporal,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-insula,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-paracentral,ctx-rh-parahippocampal,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-transversetemporal,subid
1495.06389923,3805.6450859,2369.5645522,1120.52796321,4642.93751341,7563.13789278,5998.69846343,2864.19692999,1563.09083499,7266.88038466,3886.92313147,4107.48794123,2710.55771859,6333.78232435,1590.60477393,1108.93056825,2005.33388146,1252.83126483,1645.98976942,1318.4462093,6275.56749702,2494.27596282,6699.94195044,5531.54673347,1692.7211616,10056.172654,11788.0311188,8616.2919176,5921.79783135,5902.90073288,639.707691078,1328.30043618,3449.34374557,2695.10066958,1104.47036455,5607.1608086,8055.18759554,5556.89775124,3000.44666908,1469.61391831,7070.41051817,3850.00873424,3490.54008077,3612.75483168,6987.66341564,1820.21814179,879.283238672,1950.51537002,1478.84961372,2349.08547233,1442.7598018,5695.99775551,2071.83209815,6198.33853809,5469.8447923,1289.82655744,11991.8966381,11572.6245701,8595.36793638,6243.45179237,5816.62045896,501.038676493,5000946_VNav
1535.10048284,3650.19942057,2301.57395111,1051.46754604,4594.16781499,7756.8475826,5915.17076891,2660.02022321,1595.45986509,7220.35334939,3890.46254818,4058.96217267,2768.11691466,6361.43421668,1598.36068881,1122.29058817,2077.62114208,1237.3318348,1596.57565263,1320.83565733,6386.52786366,2407.76833119,6679.56092801,5569.76489957,1792.25570691,10178.3784527,12223.4627359,8644.82970162,5821.21362152,5798.16115313,626.959117611,1339.52165116,3445.64811677,2623.08722737,956.512791704,5579.4498811,7894.87587124,5473.97338572,3114.0517227,1553.11870511,7220.65772568,3775.34406938,3662.32825187,3250.36923889,6982.27592284,1859.69986342,879.067550117,2012.90351334,1446.82111504,2397.51878414,1446.50542722,5728.71162641,2043.00085768,6060.16317886,5539.22296447,1247.32276152,12002.4085213,11506.4315946,8447.10883459,6339.29412378,5806.05463757,493.469243335,5000946_VNavNorm
900.813808683,4257.33423556,1610.85020522,871.674382875,4863.04125067,7022.55829978,6698.11478593,2981.98925675,1586.93506068,6776.8301896,3693.64029874,3565.32622122,3166.30043216,7171.49851476,2023.16758862,960.121058463,2889.38650545,1403.81920048,1880.91253919,1218.54323729,5970.77951934,1671.86261581,6873.77343624,4275.13745754,1638.37616538,9733.02631729,14344.9178966,6175.77693111,7140.61633427,7643.08122444,835.790073971,724.836098113,4602.23162889,1954.26086933,1005.87271783,4704.43191613,10105.7435938,5689.7971088,3193.32258319,1181.1875943,7170.18882199,4190.93519797,3859.91873336,2989.88291429,6976.99633363,2365.97171137,1071.49445149,2326.33067012,1426.30824171,3134.92251759,1472.0715456,6146.35131102,1660.52833089,7244.8010697,4401.07502257,626.00097275,11113.2672899,14638.3223034,6594.25355696,6279.5595285,6767.9831776,586.412346624,5026599_VNav
1051.29307185,4271.94313582,1774.10685977,914.760469886,4938.18649554,6729.51370589,6589.5822232,3060.23368059,1694.18755674,7288.44606466,3952.31814406,3672.62085968,2744.04432415,6778.41482343,1976.73760312,944.929530419,2891.36202363,1424.00620232,1918.5685576,1170.89879815,6261.55769306,1638.02103049,6933.55527279,4360.44343742,1878.91960138,9554.28769761,14068.1570552,6097.78916621,6977.96253288,7477.23151676,843.291752746,743.178097319,4359.51518793,1995.89408359,930.897878156,4755.60293226,9958.32682755,6035.8392033,3452.79125042,1103.97969252,6506.34697079,4147.0129724,3935.02895056,2869.91413532,7101.46902331,2551.95879754,1081.26592624,2237.16493712,1459.21056926,3029.30437861,1391.02467245,6129.32887352,1623.45978216,7223.67937725,4785.68139377,688.23476533,10778.4566321,14682.3603619,6565.35628105,6410.94177486,6804.76286855,625.477237822,5026599_VNavNorm
1349.45503321,3753.5913569,2249.58409693,984.90464878,5073.83188641,5526.97392405,5805.53251412,3066.99410644,1474.58071616,6369.31349721,4594.96021836,4243.73678926,3508.4172501,5990.09380286,1722.23005798,982.683339,3534.85459611,1597.06643591,3051.33455179,1558.86294476,6210.86787809,2210.28775107,6347.43194969,4239.96152423,1939.23305663,11633.2827513,12335.9099289,7130.58041652,7437.38484484,8334.81894374,858.865026897,1347.37247732,3498.98173405,2113.21082717,803.511076073,4989.9660084,8483.89389024,6196.18466181,2723.2302997,1193.57564852,8241.03767614,4783.86223617,4086.1467022,3699.57500105,6949.29826208,1801.43882368,988.698634562,2226.42526573,1961.08925038,3317.88684342,1457.6023784,6236.49421381,1434.68178891,6454.55164487,5089.95762845,1250.29247669,12592.3879575,12597.4301139,6864.88696963,6482.00837765,5493.87961653,653.802732353,5027335_HCP
1571.40819724,3820.71352789,2251.76292706,917.151372482,5296.53896769,5391.33621993,5905.22144836,3124.43941306,1737.0232618,6351.66744308,4958.58625527,3939.96706025,2954.04098583,5826.65501967,1748.98966832,1034.96890566,3811.35918534,1627.95928045,3112.13677471,1385.41651007,6522.18898385,2143.10356025,6546.44010298,4242.50255662,1818.12193562,12301.9953379,12911.6190588,7345.55050953,7996.42780702,8850.79495442,816.652434837,1477.08332991,3529.53173542,2057.23086561,812.269619046,5486.13602977,8526.26901203,6875.87043545,2736.67854986,1393.62734041,8604.01447239,4444.77626158,3859.97975363,3483.91415808,7086.46235453,1929.96273296,1011.12481548,2383.06733608,1834.18924213,3648.77248503,1379.19586319,6338.43844543,1624.53890532,6601.48443645,5213.82739417,1057.37833238,13901.2711979,12628.9101718,7066.03296173,6747.08925874,5705.10775448,656.129952059,5027335_VNav
1432.49884837,4015.64285537,2252.54288233,767.676487856,5280.9707648,5528.83914639,6200.04129067,3133.38215822,1670.80815961,6480.66374628,4901.0663808,4317.13987595,3224.99443634,6193.06590035,1810.63492403,1002.54628011,3811.11275805,1735.36890671,3039.3905151,1460.02935115,6386.07154609,2259.71314449,6568.48261768,4202.01376755,1964.64054679,11709.8532126,13093.1883593,7418.12105116,7855.06037139,8521.35654347,905.891185341,1407.12974146,3513.14619998,2102.27173679,705.065546086,5193.33028993,8587.58431628,6544.55531615,2925.06531467,1308.15558718,8332.16789871,4566.80545157,4074.06148311,3728.04578284,7128.28472971,1857.22966596,975.788353562,2416.34017101,1861.88096668,3592.92272144,1488.37447171,6405.12714764,1571.78007058,6686.91622011,5250.33459619,1323.13095326,13500.1666737,12631.5291277,6958.37352303,6723.5915606,5603.00251821,657.73987367,5027335_VNavNorm
777.935638087,3277.03403576,1986.54430531,703.31852224,4277.32494644,7229.43563879,4796.70941108,2125.61297608,1029.64310092,6218.1972801,3404.27467508,3454.61740464,2645.29557744,4712.94845238,1318.81112626,694.764128574,2006.5259606,1003.25375453,1847.89403499,1345.80275699,4976.9487383,1707.39604028,5827.40527935,3852.22425777,1127.54819412,8806.94316397,9008.53100656,5732.70245018,4835.70894865,3673.26852778,414.46821811,1040.19385462,2817.15143804,1930.14370749,645.505845765,3562.76367772,7736.36945592,4648.90383196,2323.33733088,1205.17966825,6122.58091106,3280.05601088,3454.66052067,2620.8974625,4700.93729548,1601.52038447,692.779148433,1596.12874293,1398.26956596,2454.17953738,1622.57689895,4397.66384644,1440.61812609,5671.98074978,4432.66517477,958.798472675,8953.88853476,8853.47008413,5873.92125021,4557.38817333,3916.46250012,345.866424181,5033873_VNav
871.00338427,3307.02416841,2017.69796823,780.626609466,4278.72889681,7205.18165955,4794.74812163,2133.85551096,1056.38816648,6263.32795284,3407.06375791,3511.87222264,2724.09523032,4685.21593944,1275.15727811,707.365242057,2005.06285705,989.990037187,1972.51249216,1312.45307069,4869.29909167,1711.91060361,5824.68521977,3830.5376243,1017.63271867,8674.89124668,9056.60228746,5777.8683709,4839.70992421,3676.43637391,414.935504471,1072.09677684,2740.04134194,2017.03738012,707.279073394,3573.98242531,7733.91424999,4659.28969948,2330.38171441,1156.5712391,5939.78665167,3448.9989618,3521.37481821,2686.64862415,4800.82840885,1570.05185381,656.05694705,1621.97768086,1390.14924943,2517.5596687,1595.58005008,4407.05873104,1433.50074404,5641.98976872,4439.04457138,973.726536138,9090.95750119,8881.36805219,5686.7553147,4531.49156334,3936.86219163,344.164121776,5033873_VNavNorm
993.366498987,3456.79262626,2649.95857162,790.228831828,4505.16848983,7814.88999878,5276.41093754,2401.75598112,1325.71566253,9000.18622514,3297.78950117,5307.38154383,2497.6409398,5528.33344186,2003.66904113,1014.85645133,2264.33136453,1609.9513806,2834.88632019,1762.10068029,6186.2747028,1757.27889235,6639.86928357,5805.66802698,1028.49856956,9202.30056712,11329.8689059,8383.55123669,6320.42487964,5941.66613699,627.218417653,966.420068487,3235.38420821,2591.11404311,776.523454718,5338.62470222,8510.37514737,6240.86714649,2330.7005488,1315.77839512,9416.98918541,3554.47633117,4294.30310228,2943.36274554,6386.67030514,2128.91802477,976.230690127,2010.40778173,1746.74788246,2144.60391848,1787.36939477,6735.44623236,1587.57683497,6564.17346216,5905.20980379,594.038567368,9520.08626494,11789.1651077,7620.986159,5242.8532787,5463.10706961,389.016790094,5069025_HCP
