test,t_statistic,p_value
female_ctx-lh-caudalanteriorcingulate,5.910298854869468,3.4443772634062217e-08
female_ctx-lh-caudalmiddlefrontal,0.34631892154103733,0.7297250708900643
female_ctx-lh-cuneus,-1.9577615352393563,0.05263880474500403
female_ctx-lh-entorhinal,-3.300941767227316,0.0012778914837533423
female_ctx-lh-fusiform,3.3821067755549707,0.000978782299925817
female_ctx-lh-inferiorparietal,2.928743119568782,0.00409185763347834
female_ctx-lh-inferiortemporal,1.1538291496466735,0.25092174286331276
female_ctx-lh-insula,1.9602108797196305,0.05234833626157832
female_ctx-lh-isthmuscingulate,7.152410250953058,7.97794568800063e-11
female_ctx-lh-lateraloccipital,0.7961114591182707,0.4275795979848409
female_ctx-lh-lateralorbitofrontal,-1.598545620831296,0.1126187632292931
female_ctx-lh-lingual,-3.763539562638734,0.00026345260345859544
female_ctx-lh-medialorbitofrontal,2.2326861393565767,0.0274724250298332
female_ctx-lh-middletemporal,1.1207184866061208,0.26470282820072544
female_ctx-lh-paracentral,2.988206346672896,0.0034201631032162332
female_ctx-lh-parahippocampal,3.288269976587543,0.0013316701405205957
female_ctx-lh-parsopercularis,3.80196799794173,0.0002296070732744098
female_ctx-lh-parsorbitalis,0.5593233754917688,0.5770101617666035
female_ctx-lh-parstriangularis,3.4523927795343528,0.0007741455224399267
female_ctx-lh-pericalcarine,-4.993762209287641,2.089224283248066e-06
female_ctx-lh-postcentral,-1.2666724736308543,0.2077882556144577
female_ctx-lh-posteriorcingulate,6.394152024390476,3.4381171235381357e-09
female_ctx-lh-precentral,-0.5709144556137081,0.5691525800383644
female_ctx-lh-precuneus,5.340577414018766,4.6185574736462546e-07
female_ctx-lh-rostralanteriorcingulate,4.317866940114923,3.317370930983023e-05
female_ctx-lh-rostralmiddlefrontal,0.8840532004429654,0.3784805450047861
female_ctx-lh-superiorfrontal,3.351457760647956,0.0010830472148584222
female_ctx-lh-superiorparietal,1.1637775802957557,0.24688194993759818
female_ctx-lh-superiortemporal,1.4930792646546356,0.13810823731942867
female_ctx-lh-supramarginal,2.7083323248084294,0.007776949058404764
female_ctx-lh-transversetemporal,-0.701312948233981,0.4845003092994059
female_ctx-rh-caudalanteriorcingulate,3.207159641998407,0.0017291917126699325
female_ctx-rh-caudalmiddlefrontal,0.1556963312110849,0.8765406973520818
female_ctx-rh-cuneus,-2.4802054073817033,0.014553697063609572
female_ctx-rh-entorhinal,-3.17259254551578,0.0019301231937449645
female_ctx-rh-fusiform,-1.5318410790659613,0.12826114367168656
female_ctx-rh-inferiorparietal,0.16050483750073083,0.8727602055894206
female_ctx-rh-inferiortemporal,-2.136501497931866,0.03472162866648433
female_ctx-rh-insula,2.92988442654005,0.0040778973919127996
female_ctx-rh-isthmuscingulate,8.56447120009408,5.0508097077207855e-14
female_ctx-rh-lateraloccipital,-0.6382724479764368,0.5245436943163431
female_ctx-rh-lateralorbitofrontal,2.585171529880631,0.010961029223704498
female_ctx-rh-lingual,-6.07870813212149,1.559414783875726e-08
female_ctx-rh-medialorbitofrontal,6.939918829031042,2.32872154370779e-10
female_ctx-rh-middletemporal,0.9043387000838485,0.36767416860932767
female_ctx-rh-paracentral,3.812706274300181,0.00022091484217388177
female_ctx-rh-parahippocampal,0.10201738953047103,0.9189175077653383
female_ctx-rh-parsopercularis,3.4478324324737777,0.000786096564421494
female_ctx-rh-parsorbitalis,1.7033559717472828,0.09115634882047385
female_ctx-rh-parstriangularis,3.179561906455619,0.0018879421581510859
female_ctx-rh-pericalcarine,-5.757628411388895,6.998032056683795e-08
female_ctx-rh-postcentral,-1.572070801100441,0.11863455713594998
female_ctx-rh-posteriorcingulate,7.700757089307028,4.780339513707825e-12
female_ctx-rh-precentral,-1.5376675632221806,0.12682998479275467
female_ctx-rh-precuneus,5.469617637829139,2.596767565054763e-07
female_ctx-rh-rostralanteriorcingulate,6.280662056481495,5.947050305775792e-09
female_ctx-rh-rostralmiddlefrontal,0.2988682465865474,0.7655707669915998
female_ctx-rh-superiorfrontal,3.3367166723471113,0.0011368199866241705
female_ctx-rh-superiorparietal,-1.1803604691644678,0.2402510567796085
female_ctx-rh-superiortemporal,2.17041005766,0.03199638844729799
female_ctx-rh-supramarginal,1.4539479109300693,0.1486380057848491
female_ctx-rh-transversetemporal,3.378848810244114,0.0009894011247469795
